,nom_mag,addresse,lat,long
71,Smatch Ruddervoorde,"Torhoutsestraat 51
8020 Oostkamp",51.09287175,3.2057674115797967
72,Smatch Schaerbeek,"Auguste Lambiottestraat 38
1030 Schaarbeek",50.8563538,4.3881549
73,Smatch Sleidinge,"Polenstraat 171
9940 Sleidinge",51.1255039,3.678716
74,Smatch Stekene,"Bormtestraat 9
9190 Stekene",51.1981856,4.0515514
75,Smatch Stembert,"Avenue Fernand Desonay 10
4801 Verviers",50.5912963,5.8922601
76,Smatch Thulin,"Rue Ferrer 19
7350 Hensies",50.4282549,3.740265
77,Smatch Tienen,"Getestraat 100
3300 Tienen",50.799627099999995,4.9277135496148965
78,Smatch Vaux Sur Sûre,"La Barrière 13
6640 Vaux-sur-Sûre",49.9282745,5.5944409
79,Smatch Waasmunster,"Kerkplein 4
9250 Waasmunster",51.1058908,4.0871114
80,Smatch Wachtebeke,"Melkerijstraat 3
9185 Wachtebeke",51.1725197,3.8563807
81,Smatch Woluwe,"Priester de l Epéestraat 11
1200 Sint-Lambrechts-Woluwe",50.8431467,4.412830458126626
82,Smatch Zele,"Gentsesteenweg 228
9240 Zele",51.057031800000004,4.010262954935442
83,Smatch Zeveneken,"Drongenstraat 21
9160 Lokeren",51.100932900000004,3.907544757581482
84,Smatch Zottegem,"Buke 20
9620 Zottegem",50.8763627,3.8158309
85,Smatch Zulte,"Staatsbaan 161
9870 Zulte",50.92070775,3.443827386172738
