,nom_mag,addresse,lat,long
378,Aldi Supermarkt,"Merchtemsesteenweg 91
1861 Wolvertem",50.952490499999996,4.296432790990853
379,Aldi Supermarkt,"Hoogstraat 7
1930 Zaventem",50.8823049,4.4752945
380,Aldi Supermarkt,"Brusselsesteenweg 208
1980 Zemst",50.976142,4.4560606
381,Aldi Supermarkt,"Sint-Truidensesteenweg 28A
3440 Zoutleeuw",50.8306479,5.107933856818191
382,Aldi Supermarché,"Chaussée de Huy 304
1325 Chaumont-Gistoux",50.67467375,4.714876570046758
383,Aldi Supermarché,"Rue des Lilas 43
1470 Genappe",50.6145239,4.4519046
384,Aldi Supermarché,"Avenue Albert 1er 327
1332 Genval",50.722763650000005,4.517423117915817
385,Aldi Supermarché,"Chaussée de Charleroi 103
1370 Jodoigne",50.71591155,4.863880248580621
386,Aldi Supermarché,"Avenue des Musiciens 3
1340 Louvain-la-Neuve",50.6598959,4.6121676
387,Aldi Supermarché,"Rue Tienne à deux Vallées 3
1400 Nivelles",50.5942381,4.3383896
388,Aldi Supermarché,"Rue de Bruxelles 389
1480 Tubize",50.70416355,4.209910350728562
389,Aldi Supermarché,"Chaussée de Bruxelles 321
1410 Waterloo",50.719276,4.3976758
390,Aldi Supermarché,"Chaussée de Louvain 314
1300 Wavre",50.7210266,4.622258067676573
391,Aldi Supermarkt,"Wezestraat 9
8850 Ardooie",50.975436200000004,3.2042756371387258
392,Aldi Supermarkt,"Doorniksesteenweg 165
8580 Avelgem",50.76811015,3.4426649709835013
393,Aldi Supermarkt,"Hubert d'Ydewallestraat 50-52
8730 Beernem",51.1291903,3.3222735
394,Aldi Supermarkt,"Grote Edestraat 66
8370 Blankenberge",51.3080924,3.1176134
395,Aldi Supermarkt,"Vloedstraat 6
8450 Bredene",51.2384146,2.9716117835907347
396,Aldi Supermarkt Maalsesteenweg,"Maalsesteenweg 204
8000 Brugge",51.2093607,3.2547135
397,Aldi Supermarkt Sint-Pieterskaai,"Sint-Pieterskaai 35
8000 Brugge",51.2219115,3.220616
398,Aldi Supermarkt,"Grotestraat 147
8420 De Haan",51.26998775,3.044033021310578
400,Aldi Supermarkt,"Esenweg 30
8600 Diksmuide",51.032803799999996,2.8707041657903365
401,Aldi Supermarkt,"Aartrijkestraat 111
8480 Eernegem",51.1241409,3.032218030714285
402,Aldi Supermarkt,"Menenstraat 27
8940 Geluwe",50.809500549999996,3.0799490443382824
403,Aldi Supermarkt,"Bissegemstraat 212
8560 Gullegem",50.83459955,3.211999764991817
404,Aldi Supermarkt,"Gentsesteenweg 98
8530 Harelbeke",50.86109315,3.321507518987766
405,Aldi Supermarkt,"Pannenstraat 202
8301 Heist",51.3372244,3.2478895
407,Aldi Supermarkt Karel Steverlyncklaan,"Karel Steverlyncklaan 1
8900 Ieper",50.84935825,2.9024938364425443
408,Aldi Supermarkt Maarschalk Haiglaan,"Maarschalk Haiglaan 31 C
8900 Ieper",50.8514768,2.876212
410,Aldi Supermarkt,"Ambachtenstraat 10
8870 Izegem",50.9166714,3.1932003
411,Aldi Supermarkt,"Gistelsteenweg 308
8490 Jabbeke",51.1806802,3.0924965864319622
412,Aldi Supermarkt,"Ringlaan 84
8680 Koekelare",51.09092955,2.9688990420233994
413,Aldi Supermarkt,"Robert Vandammestraat 41
8670 Koksijde",51.1035442,2.6452506
414,Aldi Supermarkt,"Staatsbaan 80A
8610 Kortemark",51.0205093,3.0069538
415,Aldi Supermarkt Engelse Wandeling,"Engelse Wandeling 2L2
8500 Kortrijk",50.8127689,3.2428279
417,Aldi,"Ringlaan 18
8520 Kuurne",50.849311099999994,3.263216516480611
418,Aldi Supermarkt,"Boezingestraat 23
8920 Langemark",50.9125139,2.919792386752987
419,Aldi Supermarkt,"Noordstraat 10
8930 Menen",50.7896117,3.1394851
420,Aldi Supermarkt,"Oostendelaan 312
8430 Middelkerke",51.1858978,2.8228088
421,Aldi Supermarkt,"Stationstraat 196
8890 Moorslede",50.893438700000004,3.0467445401568147
423,Aldi Supermarkt Alfons Pieterslaan,"Alfons Pieterslaan 26
8400 Oostende",51.2261391,2.915071484053665
424,Aldi Supermarkt Torhoutsesteenweg,"Torhoutsesteenweg 610
8400 Oostende",51.20356295,2.9049763331298397
425,Aldi Supermarkt,"Brugsestraat 105 B
8020 Oostkamp",51.1599318,3.2342898
426,Aldi Supermarkt,"Wielsbekestraat 28
8780 Oostrozebeke",50.9204408,3.3377047741784667
427,Aldi Supermarkt,"Casselstraat 267
8970 Poperinge",50.8463276,2.7150801758818597
428,Aldi Supermarkt Koning Leopold III Laan,"Koning Leopold III Laan 85
8800 Roeselare",50.96011685,3.131030543498886
429,Aldi Supermarkt Westlaan,"Westlaan 79
8800 Roeselare",50.93798245,3.1176124826607476
430,Aldi Supermarkt,"Kachtemsestraat 200
8800 Roeselare",50.9454493,3.1575067646822452
431,Aldi Supermarkt,"Rumbeeksesteenweg 389
8800 Rumbeke",50.93552,3.1475139436151087
432,Aldi Supermarkt,"Zandstraat 140
8200 Sint-Andries",51.2035947,3.1944768880743784
433,Aldi Supermarkt,"Sint-Jansstraat 114-116
8840 Staden",50.970006,3.023542467268583
434,Aldi Supermarkt,"Stationsstraat 91
8700 Tielt",50.9824336,3.200905924429387
435,Aldi Supermarkt,"Zwevezelestraat 16
8820 Torhout",51.06061675,3.109165310311113
436,Aldi Supermarkt,"Nieuwpoortkeiweg 10
8630 Veurne",51.0747039,2.6680604
437,Aldi Supermarkt,"Noorderlaan 56
8790 Waregem",50.89108125,3.425152669572454
438,Aldi Supermarkt,"Komenstraat 36 B
8940 Wervik",50.7814341,3.0359484603691134
439,Aldi Supermarkt,"Kortrijkstraat 345B
8560 Wevelgem",50.809668,3.1864567
440,Aldi Supermarkt,"Egemsestraat 1A
8750 Wingene",51.0563293,3.2732707
441,Aldi Supermarkt,"Groenestraat 112D
8210 Zedelgem",51.12982665,3.1518207046289435
442,Aldi Supermarkt,"Avelgemstraat 107 E
8550 Zwevegem",50.8072238,3.3383651
